id,name,spouseId,fatherId,motherId,gender,alive?,birthDate,deathDate
0,"Palpatine",,,,M,N,1875-01-01T00:00:00.000Z,1983-01-01T00:00:00.000Z
1,"Skywalker, Shmi",,,,F,N,1905-01-01T00:00:00.000Z,1955-01-01T00:00:00.000Z
2,"Skywalker, Anakin",3,,1,M,N,1935-01-01T00:00:00.000Z,1983-01-01T00:00:00.000Z
3,"Amidala, Padmé ",2,,,F,N,1925-01-01T00:00:00.000Z,1960-01-01T00:00:00.000Z
4,"Skywalker, Luke",,2,3,M,Y,1960-01-01T00:00:00.000Z,
5,"Organa, Leia",10,2,3,F,Y,1960-01-01T00:00:00.000Z,
6,"Yoda",,,,M,N,1083-01-01T00:00:00.000Z,1983-01-01T00:00:00.000Z
7,"Kenobi, Obi-Wan",,,,M,N,1920-01-01T00:00:00.000Z,1977-01-01T00:00:00.000Z
8,"C3PO",,2,,M,Y,1940-01-01T00:00:00.000Z,-01-01T00:00:00.000Z
9,"R2D2",,,,M,Y,1940-01-01T00:00:00.000Z,-01-01T00:00:00.000Z
10,"Solo, Han",5,,,M,N,1942-01-01T00:00:00.000Z,2015-01-01T00:00:00.000Z
11,"Chewbacca",,,,M,Y,1777-01-01T00:00:00.000Z,
